rule_id,n_cases,orig_chars_mean,snippet_chars_mean,chars_reduction_mean,chars_ratio_mean,orig_chars_p50,snippet_chars_p50,chars_ratio_p50,orig_lines_mean,snippet_lines_mean,lines_reduction_mean,lines_ratio_mean,orig_lines_p50,snippet_lines_p50,lines_ratio_p50
H1,700,389.1,285.2,0.267,0.733,384.0,311.0,0.809,12.8,7.0,0.453,0.547,13.0,7.0,0.538
H2,700,389.1,302.6,0.222,0.778,384.0,318.0,0.831,12.8,7.2,0.440,0.560,13.0,7.0,0.538
H3,700,389.1,326.3,0.161,0.839,384.0,325.0,0.841,12.8,7.6,0.407,0.593,13.0,8.0,0.615
H4,700,389.1,317.0,0.185,0.815,384.0,318.0,0.830,12.8,7.2,0.441,0.559,13.0,7.0,0.538
H5,700,389.1,317.0,0.185,0.815,384.0,318.0,0.830,12.8,7.2,0.441,0.559,13.0,7.0,0.538
H6,700,389.1,387.4,0.004,0.996,384.0,383.0,0.997,12.8,12.8,0.001,0.999,13.0,13.0,1.000
